Fe(acac)3 -- vibronic analysis
TPSSh / def2-TZVP(Fe,O) def2-SVP(C,H) / SMD(water) / TDA, ORCA 6
Ground state: 123 real modes, 0 imaginary


====================================================================================================
ROOT 15   E = 2.918 eV = 424.8 nm
====================================================================================================

A. FRANCK-CONDON ACTIVITY  (excited-state gradient projected on ground-state modes)
   total reorganisation energy = 2543.7 cm-1 = 0.3154 eV
   gradient unaccounted for by the vibrations = 0.155 %

 mode  freq/cm-1        grad/au        displ          S_k  lambda/cm-1    RR(rel)
    6      15.32    2.581827e-8      -0.0443      0.00098         0.02     0.0000
    7      19.49   -2.642251e-7       0.3157      0.04984         0.97     0.0000
    8      27.42    9.945882e-9      -0.0071      0.00003         0.00     0.0000
    9      40.15   -2.243263e-7       0.0907      0.00411         0.17     0.0000
   10      40.93    2.666372e-6      -1.0469      0.54798        22.43     0.0022
   11      42.88   -6.783254e-7       0.2484      0.03084         1.32     0.0001
   12      81.75   -1.902559e-6       0.2647      0.03502         2.86     0.0006
   13      81.88    3.503699e-8      -0.0049      0.00001         0.00     0.0000
   14      82.06   -1.260932e-7       0.0174      0.00015         0.01     0.0000
   15      93.48   -1.100417e-9       0.0001      0.00000         0.00     0.0000
   16      94.36   -1.706393e-6       0.1914      0.01832         1.73     0.0004
   17      95.82   -1.504667e-6       0.1649      0.01360         1.30     0.0003
   18     116.06    2.340563e-9      -0.0002      0.00000         0.00     0.0000
   19     138.88    4.614079e-6      -0.2899      0.04202         5.84     0.0019
   20     144.77    3.101490e-7      -0.0183      0.00017         0.02     0.0000
   21     151.65    2.569161e-5      -1.4145      1.00044       151.71     0.0547
   22     156.20    1.346940e-7      -0.0071      0.00003         0.00     0.0000
   23     157.47    2.228094e-5      -1.1593      0.67201       105.82     0.0396
   24     160.65   -1.085251e-7       0.0055      0.00002         0.00     0.0000
   25     174.66   -2.201794e-6       0.0981      0.00481         0.84     0.0003
   26     175.35    2.690314e-5      -1.1913      0.70965       124.43     0.0519
   27     191.57    3.962017e-7      -0.0154      0.00012         0.02     0.0000
   28     194.40    3.126842e-5      -1.1861      0.70345       136.75     0.0632
   29     200.62    7.789171e-5      -2.8185      3.97201       796.85     0.3800
   30     241.42    2.514691e-5      -0.6893      0.23756        57.35     0.0329
   31     242.16   -1.120045e-6       0.0306      0.00047         0.11     0.0001
   32     246.88   -3.453995e-5       0.9155      0.41911       103.47     0.0607
   33     258.18    3.596518e-8      -0.0009      0.00000         0.00     0.0000
   34     274.45   -7.067100e-7       0.0160      0.00013         0.04     0.0000
   35     277.60   -4.466062e-5       0.9928      0.49282       136.81     0.0903
   36     400.30   -2.487505e-7       0.0032      0.00001         0.00     0.0000
   37     402.43   -9.531933e-6       0.1214      0.00737         2.97     0.0028
   38     406.08   -4.878286e-8       0.0006      0.00000         0.00     0.0000
   39     417.21    1.048824e-7      -0.0013      0.00000         0.00     0.0000
   40     420.71   -1.191367e-5       0.1420      0.01008         4.24     0.0042
   41     435.03    1.118833e-4      -1.2678      0.80372       349.64     0.3616
   42     531.25    1.049086e-5      -0.0881      0.00388         2.06     0.0026
   43     532.31    2.521514e-7      -0.0021      0.00000         0.00     0.0000
